2b7e151628aed2a6abf7158809cf4f3c KEY
000102030405060708090A0B0C0D0E0F IV

6bc1bee22e409f96e93d7e117393172a TEXT
7649abac8119b246cee98e9b12e9197d CYPHER

9b51aaa110409f96e93d7e1173218341 TEXT
5beec5287aae5774fda7bb923fad9b80 CYPHER

10001aaa1abd09f96e93d7e117321822 TEXT
62f25e710bdcdc8f2a1aa1904cb558de CYPHER

eeeeeeeeeeeee1111111111111110000 TEXT
cbece061681bc66ceb4e623b94557b65 CYPHER


dddddddddddddddd0000012345678900 TEXT
94d6187905bfb7f8c9c48a5f477fcc86 CYPHER

adadadadadadadadadadadadadadadad TEXT
77847b8741e876178b3bfe3a2e31a7b7 CYPHER

123456789abcdef0fedcba9876543210 TEXT
b2c007ec1a5ecadcce06c429267897c5 CYPHER


daaa1abde142b32fe822b341a1abbff1 TEXT


daf96e93d7r51628aed21341a1abbffb TEXT

daf96e93d7r51696e93d7ree93d72201 TEXT

dab3a1abde142b32ef96e93d7re21822 TEXT

dab341a1abbfff96e93d7reeee321822 TEXT

dab341a1abbfff96bbfff96e93d7re13 TEXT




